STATION_ID,LONGITUDE,LATITUDE,LAKE,Buoy_or_station,lake
ER15M,-79.893033,42.516133,Erie,45142,ER
ER78M,-81.250117,42.116883,Erie,45132,ER
ER91M,-82.916,41.84,Erie,45005,ER
HU15M,-82.349817,44.00005,Huron,45008,HU
HU45M,-82.98415,45.13635,Huron,45003,HU
HU54M,-83.416667,45.51675,Huron,SRLM4,HU
HUFE,-83.01635,45.249767,Huron,SRLM4,HU
MI18M,-86.999033,42.734267,Michigan,45007,MI
MI27M,-86.916,43.6,Michigan,SGNW43,MI
MI41M,-86.722,44.737,Michigan,45002,MI
ON33M,-78.801917,43.5973,Ontario,45012,ON
ON55M,-77.43775,43.443133,Ontario,45012,ON
ON64B,-76.333833,43.58265,Ontario,45135,ON
SU01M,-85.161283,46.9937,Superior,WFPM4,SU
SU08M,-86.816883,47.605667,Superior,45004,SU
SU17M,-89.662,47.166,Superior,45006,SU
SU18,-90.1518,47.514217,Superior,45006,SU
